Role;Name;Games;Wins;Loses;WR;K;D;A;KDA;CS;CS/M;G;G/M;KPAR;KS;GS;CP;;
Supp;Mikyx;18;12;6;66.7%;0.72;3.28;9.56;3.14;39;1.22;7.7;240;63.6%;4.5%;12.8%;9;;
Supp;Vander;18;12;6;66.7%;0.5;2.72;8.89;3.45;34.89;1.05;7.5;226;63.5%;3.4%;12.4%;6;;
Supp;Hylissang;18;11;7;61.1%;0.83;4.11;9.5;2.51;33.78;1.06;7.8;246;60.6%;4.9%;13.1%;9;;
Supp;Labrov;18;8;10;44.4%;0.61;3.61;9.44;2.78;33;1.06;7.2;232;72.7%;4.4%;12.9%;7;;
Supp;promisq;18;7;11;38.9%;0.72;4;7.33;2.01;53.83;1.65;7.5;229;67.8%;6.1%;13.5%;7;;
Supp;LIMIT;18;3;15;16.7%;0.44;3.89;6.11;1.69;43.89;1.43;6.8;222;74.2%;5%;13.4%;12;;
Supp;Lilipp;13;5;8;38.5%;0.38;3.69;5.62;1.63;36.31;1.15;6.9;217;56.5%;3.6%;12.6%;6;;
Supp;Advienne;11;5;6;45.5%;0.64;3.09;8.27;2.88;31.64;0.94;7.4;222;67.1%;4.8%;12.4%;6;;
Supp;Denyk;7;2;5;28.6%;0.57;3.29;4.71;1.61;48.43;1.55;6.8;219;62.7%;6.8%;13.6%;4;;
Supp;Jesiz;5;0;5;0%;0.6;4;4.6;1.3;30.2;0.96;6.5;207;60.5%;7%;12.7%;4;;
